series,episode,baker,technical,result,uk_airdate,us_season,us_airdate,showstopper_chocolate,showstopper_dessert,showstopper_fruit,showstopper_nut,signature_chocolate,signature_dessert,signature_fruit,signature_nut
1,1,Annetha,2nd,IN,17 August 2010,NA,NA,chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
1,1,David,3rd,IN,17 August 2010,NA,NA,chocolate,other,no fruit,no nut,chocolate,cake,fruit,no nut
1,1,Edd,1st,IN,17 August 2010,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
1,1,Jasminder,N/A,IN,17 August 2010,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
1,1,Jonathan,9th,IN,17 August 2010,NA,NA,no chocolate,other,fruit,almond,no chocolate,cake,fruit,no nut
1,1,Louise,N/A,IN,17 August 2010,NA,NA,chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
1,1,Miranda,8th,IN,17 August 2010,NA,NA,chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
1,1,Ruth,N/A,IN,17 August 2010,NA,NA,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
1,1,Lea,10th,OUT,17 August 2010,NA,NA,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,pistachio
1,1,Mark,N/A,OUT,17 August 2010,NA,NA,chocolate,cake,no fruit,no nut,no chocolate,other,no fruit,no nut
1,2,David,8th,IN,24 August 2010,NA,NA,chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
1,2,Edd,6th,IN,24 August 2010,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cookie,fruit,no nut
1,2,Jasminder,2nd,IN,24 August 2010,NA,NA,chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
1,2,Jonathan,1st,IN,24 August 2010,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cookie,no fruit,no nut
1,2,Miranda,3rd,IN,24 August 2010,NA,NA,no chocolate,other,no fruit,pistachio,no chocolate,other,no fruit,no nut
1,2,Ruth,5th,IN,24 August 2010,NA,NA,no chocolate,other,no fruit,almond,no chocolate,other,fruit,peanut
