series,baker,cake,pie
1,Annetha,1,0
1,David,1,0
1,Edd,2,3
1,Jasminder,1,2
1,Jonathan,1,0
1,Lea,1,0
1,Louise,2,0
1,Mark,1,0
1,Miranda,4,1
1,Ruth,2,3
2,Ben,1,0
2,Holly,3,4
2,Ian,1,0
2,Janet,4,3
2,Jason,1,3
2,Joanne,4,4
2,Keith,2,0
2,Mary-Anne,5,2
2,Robert,2,3
2,Simon,2,1
2,Urvashi,1,1
2,Yasmin,2,3
3,Brendan,3,3
3,Cathryn,3,3
3,Danny,2,3
3,James,4,4
3,John,4,4
3,Manisha,2,3
3,Natasha,2,0
3,Peter,2,0
3,Ryan,4,2
3,Sarah-Jane,4,3
3,Stuart,3,2
3,Victoria,2,2
4,Ali,3,1
4,Beca,3,3
4,Christine,3,2
4,Deborah,1,0
4,Frances,5,3
4,Glenn,2,2
4,Howard,2,1
4,Kimberley,5,5
4,Lucy,2,0
4,Mark,1,0
4,Robert,2,1
4,Ruby,6,6
4,Toby,2,0
5,Chetna,3,2
5,Claire,1,0
5,Diana,1,0
5,Enwezor,1,0
5,Iain,2,0
5,Jordan,3,0
5,Kate,3,2
5,Luis,2,1
5,Martha,4,2
5,Nancy,4,2
5,Norman,2,2
5,Richard,3,2
6,Alvin,3,1
6,Dorret,1,0
6,Flora,3,3
6,Ian,4,3
6,Marie,1,0
6,Mat,3,2
6,Nadiya,4,3
6,Paul,3,2
6,Sandy,2,0
6,Stu,1,0
6,Tamal,4,3
6,Ugnė,3,0
7,Andrew,3,2
7,Benjamina,3,1
7,Candice,3,2
7,Jane,4,2
7,Kate,2,0
7,Lee,2,0
7,Louise,2,0
7,Michael,1,0
7,Rav,3,3
7,Selasi,4,1
7,Tom,2,1
7,Val,0,1
8,Chris,2,0
8,Flo,3,0
8,James,4,0
8,Julia,4,2
8,Kate,4,3
8,Liam,4,2
8,Peter,2,0
8,Sophie,5,3
8,Stacey,5,4
8,Steven,6,3
8,Tom,4,1
8,Yan,4,2
