series,episode,baker,technical,result,uk_airdate,us_season,us_airdate,challenge,bake,dessert,chocolate,fruit,nut
1,1,Annetha,2nd,IN,17 August 2010,NA,NA,signature,"light jamaican black cake
with strawberries and cream",cake,no chocolate,no fruit,no nut
1,1,David,3rd,IN,17 August 2010,NA,NA,signature,chocolate orange cake,cake,chocolate,fruit,no nut
1,1,Edd,1st,IN,17 August 2010,NA,NA,signature,caramel cinnamon and banana cake,cake,no chocolate,fruit,no nut
1,1,Jasminder,N/A,IN,17 August 2010,NA,NA,signature,fresh mango and passion fruit hummingbird cake,cake,no chocolate,fruit,no nut
1,1,Jonathan,9th,IN,17 August 2010,NA,NA,signature,carrot cake with lime and cream cheese icing,cake,no chocolate,fruit,no nut
1,1,Louise,N/A,IN,17 August 2010,NA,NA,signature,carrot and orange cake,cake,no chocolate,fruit,no nut
1,1,Miranda,8th,IN,17 August 2010,NA,NA,signature,"triple layered brownie meringue cake
with raspberry cream",cake,no chocolate,fruit,no nut
1,1,Ruth,N/A,IN,17 August 2010,NA,NA,signature,"lemon drizzle cake
with fresh cream and freshly made lemon curd",cake,no chocolate,fruit,no nut
1,1,Lea,10th,OUT,17 August 2010,NA,NA,signature,"cranberry and pistachio cake
with orange flower water icing",cake,no chocolate,fruit,pistachio
1,1,Mark,N/A,OUT,17 August 2010,NA,NA,signature,sticky marmalade tea loaf,other,no chocolate,no fruit,no nut
1,2,David,8th,IN,24 August 2010,NA,NA,signature,cheddar cheese and fresh rosemary biscuits,other,no chocolate,no fruit,no nut
1,2,Edd,6th,IN,24 August 2010,NA,NA,signature,oatmeal raisin cookie,cookie,no chocolate,fruit,no nut
1,2,Jasminder,2nd,IN,24 August 2010,NA,NA,signature,millionaires' shortbread,other,no chocolate,no fruit,no nut
1,2,Jonathan,1st,IN,24 August 2010,NA,NA,signature,honey and candied ginger cookies,cookie,no chocolate,no fruit,no nut
1,2,Miranda,3rd,IN,24 August 2010,NA,NA,signature,fresh vanilla biscuits with royal icing,other,no chocolate,no fruit,no nut
1,2,Ruth,5th,IN,24 August 2010,NA,NA,signature,"peanut shortbread with
salted peanut caramel",other,no chocolate,fruit,peanut
1,2,Annetha,7th,OUT,24 August 2010,NA,NA,signature,rose petal shortbread,other,no chocolate,no fruit,no nut
1,2,Louise,4th,OUT,24 August 2010,NA,NA,signature,stained glass window shortbread,other,no chocolate,no fruit,no nut
1,3,David,4th,IN,31 August 2010,NA,NA,signature,chilli bread,other,no chocolate,no fruit,no nut
