SERIES,AGE-Entered by OMC,OCCUPATION-Entered by OMC,HOMETOWN-Entered by OMC,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,STAR BAKER,TCH WINNER,TCH TOP 3,TCH BOTTOM,TCH HIGHEST,TCH LOWEST,TCH MEDIAN,SERIES WINNER,SERIES RUNNER UP,TOTAL EPISODES APPEARED,TOTAL EPISODES WINS,% EPISODES APPEARED,% EPISODES WINS,% TCH TOP 3,LAST DATE APPEARED UK,FIRST DATE APPEARED UK,LAST DATE APPEARED US,FIRST DATE APPEARED US
1,30 years,Single mother,Essex,Annetha,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,7,4.5,0,0,2,0,33.333333333333336,0,50,24 August 2010,17 August 2010,not aired in US,not aired in US
1,31 years,Entrepreneur,Milton Keynes,David,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,0,1,3,3,8,4.5,0,0,4,0,66.66666666666667,0,25,7 September 2010,17 August 2010,not aired in US,not aired in US
1,24 years,Debt collector for Yorkshire Bank,Bradford,Edd,IN,IN,IN,IN,IN,WINNER,NA,NA,NA,NA,0,2,4,1,1,6,2,1,0,6,3,100,50,66.66666666666667,21 September 2010,17 August 2010,not aired in US,not aired in US
1,45 years,Assistant Credit Control Manager,Birmingham,Jasminder,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,0,2,2,2,5,3,0,0,5,0,83.33333333333333,0,40,14 September 2010,17 August 2010,not aired in US,not aired in US
1,25 years,Research Analyst,St Albans,Jonathan,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,9,6,0,0,3,1,50,33.333333333333336,33.333333333333336,31 August 2010,17 August 2010,not aired in US,not aired in US
1,51 years,Retired,"Midlothian, Scotland",Lea,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,10,10,10,0,0,1,0,16.666666666666668,0,0,17 August 2010,17 August 2010,not aired in US,not aired in US
1,44 years,Police Officer,Manchester,Louise,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,4,4,4,0,0,2,0,33.333333333333336,0,0,24 August 2010,17 August 2010,not aired in US,not aired in US
1,48 years,Bus Driver,South Wales,Mark,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,1,0,16.666666666666668,0,0,17 August 2010,17 August 2010,not aired in US,not aired in US
1,37 years,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Miranda,IN,IN,IN,IN,IN,RUNNER UP,NA,NA,NA,NA,0,2,4,1,1,8,3,0,1,6,2,100,33.333333333333336,66.66666666666667,21 September 2010,17 August 2010,not aired in US,not aired in US
1,31 years,Retail manager/Housewife,"Poynton, Cheshire",Ruth,IN,IN,IN,IN,IN,RUNNER UP,NA,NA,NA,NA,0,0,2,2,2,5,3.5,0,1,6,0,100,0,33.333333333333336,21 September 2010,17 August 2010,not aired in US,not aired in US
2,31 years,Graphic Designer,Northampton,Ben,IN,IN,IN,OUT,NA,NA,NA,NA,NA,NA,0,1,3,1,1,5,2.5,0,0,4,1,50,25,75,6 September 2011,16 August 2011,not aired in US,not aired in US
2,31 years,Advertising executive,Leicester,Holly,SB,IN,IN,SB,IN,IN,IN,RUNNER UP,NA,NA,2,2,5,3,1,6,3,0,1,8,3,100,37.5,62.5,4 October 2011,16 August 2011,not aired in US,not aired in US
2,40 years,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Ian,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,2,10,10,0,0,3,0,37.5,0,33.333333333333336,30 August 2011,16 August 2011,not aired in US,not aired in US
2,63 years,Teacher of Modern Languages,"Formby, Liverpool",Janet,IN,IN,IN,IN,SB,IN,OUT,NA,NA,NA,1,1,1,6,1,8,5,0,0,7,1,87.5,14.285714285714286,14.285714285714286,27 September 2011,16 August 2011,not aired in US,not aired in US
2,19 years,Civil Engineering Student,Croydon,Jason,IN,SB,IN,SB,OUT,NA,NA,NA,NA,NA,2,1,2,3,1,7,6,0,0,5,2,62.5,40,40,13 September 2011,16 August 2011,not aired in US,not aired in US
2,41 years,Housewife,"Ongar, Essex",Joanne,IN,IN,IN,IN,IN,SB,IN,WINNER,NA,NA,1,3,4,4,1,11,4.5,1,0,8,3,100,37.5,50,4 October 2011,16 August 2011,not aired in US,not aired in US
2,31 years,House husband,"Arlesey, Bedfordshire",Keith,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,12,12,12,0,0,1,0,12.5,0,0,16 August 2011,16 August 2011,not aired in US,not aired in US
2,45 years,Housewife,"Kidderminster, Worcestershire",Mary-Anne,IN,IN,IN,IN,IN,IN,IN,RUNNER UP,NA,NA,0,0,4,4,2,9,3.5,0,1,8,0,100,0,50,4 October 2011,16 August 2011,not aired in US,not aired in US
2,25 years,Photographer,London,Robert,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,0,2,3,3,7,4,0,0,5,0,62.5,0,40,13 September 2011,16 August 2011,not aired in US,not aired in US
2,31 years,Rugby Coach,Norfolk,Simon,IN,OUT,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,9,11,10,0,0,2,0,25,0,0,23 August 2011,16 August 2011,not aired in US,not aired in US
2,40 years,Head of Marketing,"Enfield, London",Urvashi,IN,IN,OUT,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,7,9,7,0,0,3,0,37.5,0,0,30 August 2011,16 August 2011,not aired in US,not aired in US
2,43 years,Childminder,"West Kirby, The Wirral",Yasmin,IN,IN,SB,IN,IN,OUT,NA,NA,NA,NA,1,0,2,4,2,6,5,0,0,6,1,75,16.666666666666668,33.333333333333336,20 September 2011,16 August 2011,not aired in US,not aired in US
3,63 years,Recruitment consultant,Sutton Coldfield,Brendan,IN,IN,IN,SB,IN,SB,IN,IN,IN,RUNNER UP,2,2,6,4,1,10,3,0,1,10,2,100,20,60,16 October 2012,14 August 2012,not aired in US,not aired in US
3,27 years,Shop assistant,"Pease Pottage, West Sussex",Cathryn,IN,IN,IN,IN,IN,IN,IN,OUT,NA,NA,0,1,4,4,1,8,4,0,0,8,1,80,12.5,50,2 October 2012,14 August 2012,not aired in US,not aired in US
3,45 years,Intensive care consultant,Sheffield,Danny,IN,IN,IN,IN,IN,IN,SB,IN,OUT,NA,1,0,5,4,2,7,3,0,0,9,1,90,11.11111111111111,55.55555555555556,9 October 2012,14 August 2012,not aired in US,not aired in US
3,20 years,Medical student,"Hillswick, Shetland Islands",James,IN,IN,SB,IN,IN,IN,IN,SB,SB,RUNNER UP,3,5,7,3,1,7,1.5,0,1,10,5,100,50,70,16 October 2012,14 August 2012,not aired in US,not aired in US
3,23 years,Law student,Wigan,John,IN,SB,IN,IN,IN,IN,IN,IN,IN,WINNER,1,1,6,4,1,11,3,1,0,10,2,100,20,60,16 October 2012,14 August 2012,not aired in US,not aired in US
3,27 years,Nursery nurse,Leicester,Manisha,IN,IN,IN,IN,OUT,NA,NA,NA,NA,NA,0,0,0,5,5,10,6,0,0,5,0,50,0,0,11 September 2012,14 August 2012,not aired in US,not aired in US
