series,episode,baker,challenge,nut
1,1,Lea,signature,pistachio
1,2,Ruth,signature,peanut
1,3,Miranda,signature,walnut
1,3,Ruth,signature,pecan
1,4,David,signature,walnut
2,2,Ian,signature,walnut
2,3,Ben,signature,walnut
2,4,Yasmin,signature,pistachio
2,7,Holly,signature,filbert
3,1,Brendan,signature,walnut
3,1,Cathryn,signature,filbert
3,1,James,signature,pecan
3,1,Sarah-Jane,signature,filbert
3,1,Victoria,signature,pecan
3,3,John,signature,walnut
3,3,Stuart,signature,almond
3,3,Victoria,signature,walnut
3,4,James,signature,filbert
3,4,Manisha,signature,almond
3,4,Sarah-Jane,signature,almond
3,6,Cathryn,signature,walnut
3,6,Danny,signature,walnut
3,7,John,signature,almond
3,8,Danny,signature,almond
3,9,Brendan,signature,mton
4,1,Ali,signature,pistachio
4,1,Robert,signature,pecan
4,3,Glenn,signature,almond
4,3,Kimberley,signature,almond
4,4,Ali,signature,mton
4,4,Kimberley,signature,pecan
4,5,Beca,signature,filbert
4,5,Glenn,signature,pistachio
4,5,Kimberley,signature,almond
4,5,Christine,signature,almond
4,7,Frances,signature,walnut
4,9,Beca,signature,walnut
5,1,Chetna,signature,pistachio
5,1,Richard,signature,pistachio
5,1,Nancy,signature,filbert
5,3,Iain,signature,walnut
5,3,Martha,signature,walnut
5,3,Nancy,signature,walnut
5,4,Martha,signature,peanut
5,4,Nancy,signature,pistachio
5,5,Martha,signature,pistachio
5,6,Kate,signature,pecan
5,6,Martha,signature,almond
5,8,Chetna,signature,walnut
5,9,Richard,signature,pistachio
5,10,Luis,signature,walnut
5,10,Nancy,signature,almond
6,1,Sandy,signature,almond
6,1,Tamal,signature,pistachio
6,2,Alvin,signature,mton
6,2,Dorret,signature,almond
6,2,Mat,signature,pistachio
6,2,Nadiya,signature,pistachio
6,2,Paul,signature,filbert
6,2,Sandy,signature,filbert
6,2,Ian,signature,almond
6,3,Flora,signature,filbert
6,3,Tamal,signature,walnut
6,3,Dorret,signature,walnut
6,4,Paul,signature,almond
6,5,Flora,signature,pistachio
6,5,Paul,signature,pecan
6,5,Ugnė,signature,filbert
6,8,Flora,signature,almond
6,8,Nadiya,signature,mton
6,9,Nadiya,signature,peanut
6,10,Nadiya,signature,almond
7,1,Benjamina,signature,pistachio
7,3,Benjamina,signature,almond
7,3,Candice,signature,pecan
7,3,Rav,signature,filbert
7,5,Benjamina,signature,peanut
7,5,Jane,signature,almond
7,5,Rav,signature,mton
7,5,Val,signature,pecan
7,7,Jane,signature,filbert
7,9,Candice,signature,walnut
8,1,Liam,signature,almond
8,1,Stacey,signature,walnut
8,2,Liam,signature,pecan
8,4,Julia,signature,pecan
8,4,Liam,signature,peanut
1,1,Jonathan,showstopper,almond
1,2,Miranda,showstopper,pistachio
1,2,Ruth,showstopper,almond
1,3,David,showstopper,almond
1,3,Jonathan,showstopper,walnut
1,5,Edd,showstopper,almond
2,2,Holly,showstopper,pistachio
2,2,Joanne,showstopper,almond
2,2,Mary-Anne,showstopper,pecan
2,2,Robert,showstopper,almond
2,2,Yasmin,showstopper,filbert
2,3,Holly,showstopper,walnut
2,3,Janet,showstopper,walnut
2,3,Mary-Anne,showstopper,walnut
2,3,Ian,showstopper,walnut
2,4,Janet,showstopper,almond
2,4,Mary-Anne,showstopper,filbert
2,4,Yasmin,showstopper,walnut
2,4,Ben,showstopper,pistachio
2,7,Holly,showstopper,mton
2,8,Joanne,showstopper,pistachio
3,1,Stuart,showstopper,pistachio
3,2,John,showstopper,walnut
3,3,Cathryn,showstopper,pistachio
3,4,Cathryn,showstopper,almond
3,4,Ryan,showstopper,pistachio
3,4,Sarah-Jane,showstopper,filbert
3,4,Brendan,showstopper,filbert
3,5,Cathryn,showstopper,peanut
3,5,John,showstopper,pecan
3,6,Danny,showstopper,pistachio
3,6,Brendan,showstopper,walnut
3,9,James,showstopper,filbert
4,1,Glenn,showstopper,almond
4,2,Deborah,showstopper,walnut
4,3,Kimberley,showstopper,pistachio
4,3,Robert,showstopper,almond
4,3,Mark,showstopper,pistachio
4,4,Glenn,showstopper,walnut
4,4,Ruby,showstopper,almond
4,6,Glenn,showstopper,almond
4,6,Kimberley,showstopper,filbert
4,7,Beca,showstopper,filbert
4,8,Beca,showstopper,pecan
4,8,Frances,showstopper,walnut
4,8,Ruby,showstopper,pistachio
4,9,Ruby,showstopper,almond
5,1,Enwezor,showstopper,walnut
5,1,Norman,showstopper,almond
5,1,Richard,showstopper,walnut
5,4,Kate,showstopper,pistachio
5,6,Chetna,showstopper,almond
5,7,Luis,showstopper,peanut
5,8,Nancy,showstopper,almond
5,9,Luis,showstopper,pistachio
5,9,Richard,showstopper,filbert
6,3,Sandy,showstopper,walnut
6,4,Tamal,showstopper,filbert
6,4,Ugnė,showstopper,filbert
6,5,Ugnė,showstopper,peanut
6,8,Tamal,showstopper,pistachio
7,4,Candice,showstopper,peanut
7,4,Jane,showstopper,pistachio
7,4,Rav,showstopper,pistachio
7,5,Jane,showstopper,walnut
7,5,Rav,showstopper,filbert
7,9,Jane,showstopper,pistachio
