country,en_title,premiere,cancelled,latest_season,hosts,local_title,judges,channel
Australia,The Great Australian Bake Off,9 July 2013,0,4th,"Shane Jacobson, Anna Gare",The Great Australian Bake Off,"Dan Lepard, Kerry Vincent",Nine Network
Belgium,The Master Baker,4 April 2012,1,1st,Rani De Coninck,De MeesterBakker,"Sofie Dumont, Bernard Proot",vtm
Brazil,Bake Off Brasil,26 July 2015,0,3rd,"Carolina Fiorentino, Ticiana Villas Boas",Bake Off Brasil,"Fabrizio Fasano Jr., Beca Milano, Carolina Fiorentino",SBTDiscovery Home & Health
Brazil,Bake Off SBT,23 December 2017,0,NA,"Carolina Florentino, Danilo Gentili, Ratinho",Bake Off SBT,"Fabrizio Fasano Jr., Beca Milano",SBTDiscovery Home & Health
Brazil,Júnior Bake Off Brasil,6 January 2018,0,NA,"Carolina Florentino, Danilo Gentili, Ratinho",Júnior Bake Off Brasil,Carolina Florentino,SBTDiscovery Home & Health
Bulgaria,Bake Off: The Sweetest Competition,15 November 2016,0,NA,"Aleksandra Raeva, Raffi Bohosyan",Bake Off: Най-сладкото състезание,"Julia Pandzherova, Yuri Baltaliyski",Nova TV
Canada,The Great Canadian Baking Show,1 November 2017,0,1st,"Dan Levy, Julia Chan",The Great Canadian Baking Show,"Bruno Feldeisen, Rochelle Adonis",CBC
Denmark,The Great Baking Contest,28 August 2012,0,6th,Timm Vladimir,Den store bagedyst,"Mette Blomsterberg, Jan Friis-Mikkelsen",DR
Estonia,Estonia's Best Baker,31 August 2015,0,2nd,"Kristjan Rabi,  Indrek Vaheoja,  Alari Kivisaar",Eesti parim pagar,"Angeelika Kang, Ants Uustalu",TV
Finland,The whole of Finland bakes,24 September 2013,0,3rd,Anne Kukkohovi,Koko Suomi leipoo,"Mika Parviainen, Sami Granroth",MTV
France,The Best Baker,26 November 2012,0,NA,Julia Vignali,Le Meilleur Pâtissier,"Cyril Lignac, Jacqueline Mercorelli",MRTL-TVI (Belgium)
Germany,The great Bake,1 December 2013,0,NA,"Britt Hagedorn,  Meltem Kaptan,  Enie van de Meiklokjes,  Annika Lau",Das große Backen,"Christian Hümbs, Enie van de Meiklokjes,  Andrea Schirmaier-Huber,  Betty Schliephake-Burchardt",Sat.
Ireland,The Great Irish Bake Off,19 September 2013,1,3rd,Anna Nolan,The Great Irish Bake Off,"Biddy White Lennon, Paul Kelly",TV
Israel,Bake Off Israel,9 April 2016,0,999,"Paula Rosenberg, Aya Kremerman",בייק אוף ישראל,"Ran Shmueli, Oded Brenner, Carine Goren",Channel 
Italy,Bake Off Italy – Sweets in the oven,29 November 2013,0,5th,Benedetta Parodi,Bake Off Italia – Dolci in forno,"Ernst Knam, Clelia d'Onofrio, Damiano Carrara",Real Time
Netherlands,All of Holland bakes,5 June 2013,0,5th,"Martine Bijl,  André van Duin",Heel Holland Bakt,"Robèrt van Beckhoven, Janny van der Heijden",MAX (NPO )
Norway,All of Norway Bakes,10 March 2013,0,NA,Line Verndal,Hele Norge baker,"Pascal Dupuy, Øyvind Lofthus",TV
Poland,Bake Off – What A Cake!,5 September 2016,0,NA,"Anna Gacek, Paulina Mikuła",Bake Off – Ale Ciacho!,"Krzysztof Ilnicki, Gosia Molska",TVP
Portugal,Best Bakery – The Best Pastry in Portugal,3 October 2016,0,NA,Ana Guiomar,Best Bakery – A Melhor Pastelaria de Portugal,"Luca Arguelles, Telmo Moutinho",SIC
Romania,Bake Off Romania,29 February 2016,0,NA,Nicolle Stanese,Bake Off Romania,"Alex Stan, Simona Pope, Tudor Constantinescu",Pro TV
South Africa,The Great South African Bake Off,8 October 2015,0,NA,"Anne Hirsch, Lentswe Bhengu",The Great South African Bake Off,"Shirley Guy, Tjaart Walraven",BBC Lifestyle
Sweden,All of Sweden Bakes,20 September 2012,0,4th,Tilde de Paula,Hela Sverige bakar,"Johan Sörberg, Birgitta Rasmussen",TV (Sjuan)
Sweden,Celebrity All of Sweden Bakes,11 November 2014,0,NA,Tilde de Paula,Hela kändis-Sverige bakar,"Johan Sörberg, Birgitta Rasmussen",TV (Sjuan)
Turkey,Ver Fırına,20 October 2014,1,NA,Burcu Esmersoy,Ver Fırına,"Arda Türkmen, Emel Başdoğan",TV
Ukraine,Great Bakers Tournament,1 September 2013,1,NA,Yuri Gorbunov,Великий пекарський турнір,"Serge Markovic, Catherine Ahronik, Olga Ganushchak",+
United States,The American Baking Competition,29 May 2013,1,1st,Jeff Foxworthy,The American Baking Competition,"Marcela Valladolid, Paul Hollywood",CBS
United States,The Great American Baking Show,30 November 2015 ,0,3rd,"Ayesha Curry, Anthony Adams",The Great American Baking Show,"Johnny Iuzzini, Paul Hollywood",ABC
