series,episode,baker,signature,technical,showstopper
1,1,Annetha,"Light Jamaican Black Cake
with Strawberries and Cream",2nd,"Chocolate with Cigarellos, Fresh Fruit, and Cream"
1,1,David,Chocolate Orange Cake,3rd,"Black Forest Floor Gateaux
with Chocolate Leaves, Fallen Fruit
and Chocolate Mushrooms"
1,1,Edd,Caramel Cinnamon and Banana Cake,1st,N/A
1,1,Jasminder,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,N/A
1,1,Jonathan,Carrot Cake with Lime and Cream Cheese Icing,9th,Three-layer with Almond and Cherry
1,1,Lea,"Cranberry and Pistachio Cake
with Orange Flower Water Icing",10th,"Chocolate, Raspberries and Cream
with Fresh Fruit"
1,1,Louise,Carrot and Orange Cake,N/A,"Never Fail Chocolate Sponge Cake,
with Fresh Fruit"
1,1,Mark,Sticky Marmalade Tea Loaf,N/A,Heart-shaped Chocolate and Beetroot Cake
1,1,Miranda,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",8th,"Three Tiered Chocolate Fudge Cake
with Handmade Chocolate Button Decorations"
1,1,Ruth,"Lemon Drizzle Cake
with Fresh Cream and freshly made Lemon Curd",N/A,"Classic Chocolate Sponge wrapped in a Chocolate Collar
topped with Handmade White and Dark Chocolate Truffles"
1,2,Annetha,Rose Petal Shortbread,7th,Pink Swirl Macarons / Eclairs
1,2,David,Cheddar Cheese and Fresh Rosemary Biscuits,8th,"Choux Pastry Swans
Chocolate Profiteroles"
1,2,Edd,Oatmeal Raisin Cookie,6th,Pink Macarons
1,2,Jasminder,Millionaires' Shortbread,2nd,"Meringues with Chocolate and Space Dust
Coffee flavoured Eclairs"
1,2,Jonathan,Honey and Candied Ginger Cookies,1st,Meringues with Whiskey Cream
1,2,Louise,Stained Glass Window Shortbread,4th,"Strawberry, Mint, and Cream Meringues
Chocolate Eclairs / Orange, Yellow and Pink Macarons"
1,2,Miranda,Fresh Vanilla Biscuits with Royal Icing,3rd,Pistachio Macarons
1,2,Ruth,"Peanut Shortbread with
Salted Peanut Caramel",5th,"Almond Macaron with Violet Buttercream
Raspberries and Cream Eclairs"
1,3,David,Chilli Bread,4th,"Walnut and Seed Roll
Red Berry and Almond Bun"
1,3,Edd,Olive Bread,1st,Tomato and Mozzarella
1,3,Jasminder,Focaccia,5th,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
1,3,Jonathan,"Anchovy, Sweet Paprika and Oregano Bread",6th,"Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
1,3,Miranda,Walnut and Apricot Bread,3rd,"Lemon Iced Buns
Chocolate and Orange Buns"
1,3,Ruth,Maple and Pecan Bread,2nd,"Chocolate and Orange Panettone
Cranberry Bagels"
1,4,David,Pear and Walnut Pudding,5th,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
1,4,Edd,Apple and Plum Pudding,3rd,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
1,4,Jasminder,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2nd,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
1,4,Miranda,Sticky Toffee Pudding,1st,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
1,4,Ruth,Peach and Blueberry Boy Bait,4th,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
1,5,Edd,"Chicken, Ham, Leek and Tarragon Pie",2nd,"Almond Sweet Pastry with Ginger and Chocolate
Raspberry Tart / Yorkshire Curd Tart
Chickpea and Salami, Red and Yellow Pepper,
Asparagus Gruyere Quiche Canapés"
1,5,Jasminder,Chicken and Mushroom Pie,4th,"Jaggery, Carrot, and Spiced Condensed Milk Tart
Fruit and Custard Tart
Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
1,5,Miranda,"Summery Salmon, Cod and Prawn Fish Pie",1st,"Chocolate Pastry filled with Orange Cheesecake
Chocolate Pastry filled with Milk Chocolate Ganche
Strawberry Tart with Red Currant Glaze
Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
1,5,Ruth,Minced Beef Pie,3rd,"Raspberry and Dark Chocolate Tart
Creme Patisserie and Cherry Tart
Citrus Curd Tart with Creme Brulee top
Tomato, Asparagus Twirl Canapés"
1,6,Edd,Cinnamon and Banana Cake,N/A,"24 Chocolate and Ginger Tarts
24 Lemon Scones with Passion Fruit Curd
24 Raspberry Choux Buns
24 Finger Sandwiches"
1,6,Miranda,Lemon Cupcake,N/A,Eliminated after signature
1,6,Ruth,"Mint, Ginger and Blackberry Cake",N/A,"24 Red Pepper and Cheese Quiche Tarts
24 Sultana Scones
24 Vanilla and Lemon Choux Buns
24 Finger Sandwiches"
2,1,Ben,"Rhubarb and Custard Cupcakes
After Dinner Cupcakes",2nd,"Vanilla Sponge with White Chocolate
and Raspberry Buttercream"
2,1,Holly,"Cherry Bakewell Inspired Cupcakes
Ginger Cupcakes with Fig Truffle",1st,UNKNOWN
2,1,Ian,Apple and Cinnamon Cupcakes,10th,UNKNOWN
2,1,Janet,Raspberry and Cream Cupcakes,8th,"Chocolate Marble Cake
with Dark and White Chocolate Truffles"
2,1,Jason,"Lemon Meringue Cupcakes
Apple and Cinnamon Cupcakes",6th,UNKNOWN
2,1,Joanne,"Chocolate Orange Cupcakes
Orange and Cardamom Cupcakes",11th,Chocolate and Strawberry Cake
2,1,Keith,Earl Grey Cupcakes,12th,Chocolate and Sour Cream Cake
2,1,Mary-Anne,Banoffee Cupcakes,4th,Chocolate and Raspberry Opera cake
2,1,Robert,"Blackberry and Vanilla Cupcakes
with Liquorice Frosting",3rd,"Genoise Layered Mousse Cake
with Chocolate Ganache"
2,1,Simon,Guinness and Chocolate Cupcakes,9th,Two-Tiered Chocolate Courgette Cake
2,1,Urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,7th,UNKNOWN
2,1,Yasmin,Cardamom and Pomegranate Cupcakes,5th,UNKNOWN
2,2,Ben,"Chorizo, Pepper and Gruyere Quiche",1st,UNKNOWN
2,2,Holly,Pesto Quiche,4th,"Milk Chocolate and Pistachio Tarts
Trifle Tarts"
2,2,Ian,"Stilton, Spinach and New Potato Quiche
with Paprika and Walnut Pastry",2nd,UNKNOWN
2,2,Janet,Quiche Printanière,8th,"Red Fruit Tarts
Chocolate and Cherry Tarts"
2,2,Jason,Salmon and Pak Choi Quiche,3rd,"Mint Chocolate Tarts
Blueberry Bakewell Tarts"
2,2,Joanne,"Caramelised Onion, Gruyere and Thyme Quiche",10th,"Raspberry and Mascarpone Tarts with Lemon and Almond Pastry
Honey and Almond Tarts with Sweetcrust"
2,2,Mary-Anne,"Roasted Cauliflower, Cheese and
Caramelised Onion Quiche",9th,"Butterscotch Brulée Tarts in Pecan Pastry
Apple Rose Tarts"
2,2,Robert,Smoked Bacon and Kale Quiche,5th,"Chocolate, Fennel and Ginger Tart
Almond, Creme Patissiere and Poached Pear Tart"
2,2,Simon,Smoked Haddock and Watercress Quiche,11th,"Passion Fruit and Ricotta Tarts
Salted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
2,2,Urvashi,"Crab, Coriander and Coconut Quiche",7th,"Strawberry and Basil Tarts
Elderflower and Honeycomb Tarts"
2,2,Yasmin,Smoked Haddock and Watercress Quiche,6th,"Chocolate and Orange with Cinnamon-Orange Pastry Tarts
Blueberry and Hazelnut with Hazelnut Pastry Tarts"
2,3,Ben,"Walnut, Raisin and Rosemary Loaf",3rd,UNKNOWN
2,3,Holly,Picnic Loaf,6th,Stilton and Walnut Rolls
2,3,Ian,"Courgette, Caerphilly Cheese and Thyme Loaf",10th,"Walnut and Raisin Rolls
Cracked Wheat Logs"
2,3,Janet,Zupfe Loaf with Gruyère Cheese,8th,"Apple and Walnut Granary Rolls
Red Onion Cottage Rolls"
2,3,Jason,Cheese and Onion Tear and Share Loaf,7th,UNKNOWN
2,3,Joanne,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",1st,UNKNOWN
2,3,Mary-Anne,Ploughman's Loaf,5th,"Herb and Walnut Breads
Chocolate and Chilli Buns"
2,3,Robert,Rye and Coriander Seed Loaf,4th,"Blueberry Brioche Rolls
Lemon and Poppy Seed Rolls"
2,3,Urvashi,Salt and Peppercorn Loaf,9th,"Chilli and Halloumi Rolls
Lemon and Coriander Mini Loaves"
2,3,Yasmin,Egyptian Dukkah Loaf with Mixed Spices,2nd,"Pesto Buns
Sweet Coconut Rolls"
2,4,Ben,Stem Ginger Nuts,5th,"Chocolate and Almond Macarons
Pine Nut Macarons
Pistachio Macarons"
2,4,Holly,Strawberry and Custard Melts,3rd,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
2,4,Janet,Christmas Marzipan Biscuits,4th,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
2,4,Jason,Lebkuchen,1st,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
2,4,Joanne,Lavender Biscuits,8th,"Blueberry Macarons
Coconut Macarons
Strawberry Macarons"
2,4,Mary-Anne,Melting Moments,2nd,"Blackcurrant and Mint Macarons
Gooseberry and Elderflower Macarons
Hazelnut Macarons"
2,4,Robert,Chocolate and Ginger Oat Biscuits,7th,"Strawberry and Lime Macarons
Lemon Macarons
Chocolate and Cardamom Macarons"
2,4,Yasmin,Chocolate Chip and Pistachio Biscotti,6th,"Chocolate and Lime Macarons
Coffee and Walnut Macarons
Pineapple and Coconut Macarons"
2,5,Holly,"Stilton, Potato and Caramelised Onion Pie",4th,Lime Meringue Pie
2,5,Janet,Chicken and Chestnut Pie,1st,Rhubarb Meringue Pie
2,5,Jason,Brown Down Chicken Pie,7th,Plum Meringue Pie
2,5,Joanne,Salmon and Asparagus Pie,6th,Apple and Raspberry Meringue Pie
