series,episode,uk_premiere,us_season,us_airdate,bakers_appeared,bakers_out,bakers_remaining,star_bakers,technical_winners,sb_name,winner_name,eliminated
1,1,2010-08-17,NA,NA,10,2,8,0,1,NA,NA,"Lea, Mark"
1,2,2010-08-24,NA,NA,8,2,6,0,1,NA,NA,"Annetha, Louise"
1,3,2010-08-31,NA,NA,6,1,5,0,1,NA,NA,Jonathan
1,4,2010-09-07,NA,NA,5,1,4,0,1,NA,NA,David
1,5,2010-09-14,NA,NA,4,1,3,0,1,NA,NA,Jasminder
1,6,2010-09-21,NA,NA,3,2,1,0,0,NA,Edd,NA
2,1,2011-08-16,NA,NA,12,1,11,1,1,Holly,NA,Keith
2,2,2011-08-23,NA,NA,11,1,10,1,1,Jason,NA,Simon
2,3,2011-08-30,NA,NA,10,2,8,1,1,Yasmin,NA,"Ian, Urvashi"
2,4,2011-09-06,NA,NA,8,1,7,2,1,"Holly, Jason",NA,Ben
2,5,2011-09-13,NA,NA,7,2,5,1,1,Janet,NA,"Jason, Robert"
2,6,2011-09-20,NA,NA,5,1,4,1,1,Joanne,NA,Yasmin
2,7,2011-09-27,NA,NA,4,1,3,0,1,NA,NA,Janet
2,8,2011-10-04,NA,NA,3,2,1,0,1,NA,Joanne,NA
3,1,2012-08-14,NA,NA,12,1,11,1,1,Victoria,NA,Natasha
3,2,2012-08-21,NA,NA,11,1,10,1,1,John,NA,Peter
3,3,2012-08-28,NA,NA,10,1,9,1,1,James,NA,Victoria
3,4,2012-09-04,NA,NA,9,1,8,1,1,Brendan,NA,Stuart
3,5,2012-09-11,NA,NA,8,1,7,1,1,Ryan,NA,Manisha
3,6,2012-09-18,NA,NA,7,0,7,1,1,Brendan,NA,NA
3,7,2012-09-25,NA,NA,7,2,5,1,1,Danny,NA,"Ryan, Sarah-Jane"
3,8,2012-10-02,NA,NA,5,1,4,1,1,James,NA,Cathryn
3,9,2012-10-09,NA,NA,4,1,3,1,1,James,NA,Danny
3,10,2012-10-16,NA,NA,3,2,1,0,1,NA,John,NA
4,1,2013-08-20,1,28-Dec-14,13,1,12,1,1,Robert,NA,Toby
4,2,2013-08-27,1,4-Jan-15,12,1,11,1,1,Ruby,NA,Lucy
4,3,2013-09-03,1,11-Jan-15,11,2,9,1,1,Christine,NA,"Deborah, Mark"
4,4,2013-09-10,1,18-Jan-15,9,1,8,1,1,Kimberley,NA,Ali
4,5,2013-09-17,1,25-Jan-15,8,1,7,1,1,Christine,NA,Robert
4,6,2013-09-24,1,1-Feb-15,7,1,6,1,1,Ruby,NA,Howard
4,7,2013-10-01,1,8-Feb-15,6,1,5,1,1,Frances,NA,Glenn
4,8,2013-10-08,1,15-Feb-15,5,1,4,1,1,Ruby,NA,Christine
4,9,2013-10-15,1,22-Feb-15,4,1,3,1,1,Kimberley,NA,Beca
4,10,2013-10-22,1,1-Mar-15,3,2,1,0,1,NA,Frances,NA
5,1,2014-08-06,2,6-Sep-15,12,1,11,1,1,Nancy,NA,Claire
5,2,2014-08-13,2,13-Sep-15,11,1,10,1,1,Richard,NA,Enwezor
5,3,2014-08-20,2,20-Sep-15,10,1,9,1,1,Luis,NA,Jordan
5,4,2014-08-27,2,27-Sep-15,9,1,8,1,1,Richard,NA,Iain
5,5,2014-09-03,2,4-Oct-15,8,2,6,1,1,Kate,NA,"Diana, Norman"
5,6,2014-09-10,2,11-Oct-15,6,0,6,1,1,Chetna,NA,NA
5,7,2014-09-17,2,18-Oct-15,6,1,5,1,1,Richard,NA,Kate
5,8,2014-09-24,2,25-Oct-15,5,1,4,1,1,Richard,NA,Martha
5,9,2014-10-01,2,1-Nov-15,4,1,3,1,1,Richard,NA,Chetna
5,10,2014-10-08,2,8-Nov-15,3,2,1,0,1,NA,Nancy,NA
6,1,2015-08-05,3,1-Jul-16,12,1,11,1,1,Marie,NA,Stu
6,2,2015-08-12,3,8-Jul-16,11,1,10,1,1,Ian,NA,Marie
6,3,2015-08-19,3,15-Jul-16,10,1,9,1,1,Ian,NA,Dorret
6,4,2015-08-26,3,15-Jul-16,9,1,8,1,1,Ian,NA,Sandy
6,5,2015-09-02,3,22-Jul-16,8,1,7,1,1,Nadiya,NA,Ugnė
6,6,2015-09-09,3,22-Jul-16,7,1,6,1,1,Mat,NA,Alvin
6,7,2015-09-16,3,29-Jul-16,6,1,5,1,1,Tamal,NA,Mat
6,8,2015-09-23,3,29-Jul-16,5,1,4,1,1,Nadiya,NA,Paul
6,9,2015-09-30,3,5-Aug-16,4,1,3,1,1,Nadiya,NA,Flora
6,10,2015-10-07,3,12-Aug-16,3,2,1,0,1,NA,Nadiya,NA
7,1,2016-08-24,4,16-Jun-17,12,1,11,1,1,Jane,NA,Lee
