series,episode,airdate,uk_airdate,uk_premiere,viewers_7day,weekly_ranking_network,weekly_ranking_all_channels,viewers_28day,bbc_iplayer_requests,us_season,us_airdate
1,1,17 August 2010 (2010-08-17),17 August 2010 ,2010-08-17,2.24,7,NA,NA,NA,NA,NA
1,2,24 August 2010 (2010-08-24),24 August 2010 ,2010-08-24,3.00,3,NA,NA,NA,NA,NA
1,3,31 August 2010 (2010-08-31),31 August 2010 ,2010-08-31,3.00,2,NA,NA,NA,NA,NA
1,4,7 September 2010 (2010-09-07),7 September 2010 ,2010-09-07,2.60,4,NA,NA,NA,NA,NA
1,5,14 September 2010 (2010-09-14),14 September 2010 ,2010-09-14,3.03,1,NA,NA,NA,NA,NA
1,6,21 September 2010 (2010-09-21),21 September 2010 ,2010-09-21,2.75,1,NA,NA,NA,NA,NA
2,1,16 August 2011 (2011-08-16),16 August 2011 ,2011-08-16,3.10,2,NA,NA,NA,NA,NA
2,2,23 August 2011 (2011-08-23),23 August 2011 ,2011-08-23,3.53,2,NA,NA,NA,NA,NA
2,3,30 August 2011 (2011-08-30),30 August 2011 ,2011-08-30,3.82,1,NA,NA,NA,NA,NA
2,4,6 September 2011 (2011-09-06),6 September 2011 ,2011-09-06,3.60,1,NA,NA,NA,NA,NA
2,5,13 September 2011 (2011-09-13),13 September 2011 ,2011-09-13,3.83,1,NA,NA,NA,NA,NA
2,6,20 September 2011 (2011-09-20),20 September 2011 ,2011-09-20,4.25,1,NA,NA,NA,NA,NA
2,7,27 September 2011 (2011-09-27),27 September 2011 ,2011-09-27,4.42,1,NA,NA,NA,NA,NA
2,8,4 October 2011 (2011-10-04),4 October 2011 ,2011-10-04,5.06,1,NA,NA,NA,NA,NA
3,1,14 August 2012 (2012-08-14),14 August 2012 ,2012-08-14,3.85,1,NA,NA,NA,NA,NA
3,2,21 August 2012 (2012-08-21),21 August 2012 ,2012-08-21,4.60,1,NA,NA,NA,NA,NA
3,3,28 August 2012 (2012-08-28),28 August 2012 ,2012-08-28,4.53,1,NA,NA,NA,NA,NA
3,4,4 September 2012 (2012-09-04),4 September 2012 ,2012-09-04,4.71,1,NA,NA,NA,NA,NA
3,5,11 September 2012 (2012-09-11),11 September 2012 ,2012-09-11,4.61,1,NA,NA,NA,NA,NA
3,6,18 September 2012 (2012-09-18),18 September 2012 ,2012-09-18,4.82,1,NA,NA,NA,NA,NA
3,7,25 September 2012 (2012-09-25),25 September 2012 ,2012-09-25,5.10,1,NA,NA,NA,NA,NA
3,8,2 October 2012 (2012-10-02),2 October 2012 ,2012-10-02,5.35,1,NA,NA,NA,NA,NA
3,9,9 October 2012 (2012-10-09),9 October 2012 ,2012-10-09,5.70,1,NA,NA,NA,NA,NA
3,10,16 October 2012 (2012-10-16),16 October 2012 ,2012-10-16,6.74,1,NA,NA,NA,NA,NA
4,1,20 August 2013 (2013-08-20),20 August 2013 ,2013-08-20,6.60,1,11,NA,NA,1,28-Dec-14
4,2,27 August 2013 (2013-08-27),27 August 2013 ,2013-08-27,6.65,1,12,NA,NA,1,4-Jan-15
4,3,3 September 2013 (2013-09-03),3 September 2013 ,2013-09-03,7.17,1,13,NA,NA,1,11-Jan-15
4,4,10 September 2013 (2013-09-10),10 September 2013 ,2013-09-10,6.82,1,18,NA,NA,1,18-Jan-15
4,5,17 September 2013 (2013-09-17),17 September 2013 ,2013-09-17,6.95,1,17,NA,NA,1,25-Jan-15
4,6,24 September 2013 (2013-09-24),24 September 2013 ,2013-09-24,7.32,1,16,NA,NA,1,1-Feb-15
4,7,1 October 2013 (2013-10-01),1 October 2013 ,2013-10-01,7.76,1,13,NA,NA,1,8-Feb-15
4,8,8 October 2013 (2013-10-08),8 October 2013 ,2013-10-08,7.41,1,12,NA,NA,1,15-Feb-15
4,9,15 October 2013 (2013-10-15),15 October 2013 ,2013-10-15,7.41,1,18,NA,NA,1,22-Feb-15
4,10,22 October 2013 (2013-10-22),22 October 2013 ,2013-10-22,9.45,1,4,NA,NA,1,1-Mar-15
5,1,6 August 2014 (2014-08-06),6 August 2014 ,2014-08-06,8.51,1,1,NA,NA,2,6-Sep-15
5,2,13 August 2014 (2014-08-13),13 August 2014 ,2014-08-13,8.79,1,1,NA,NA,2,13-Sep-15
5,3,20 August 2014 (2014-08-20),20 August 2014 ,2014-08-20,9.28,1,1,NA,NA,2,20-Sep-15
5,4,27 August 2014 (2014-08-27),27 August 2014 ,2014-08-27,10.25,1,2,NA,NA,2,27-Sep-15
5,5,3 September 2014 (2014-09-03),3 September 2014 ,2014-09-03,9.95,1,2,NA,NA,2,4-Oct-15
5,6,10 September 2014 (2014-09-10),10 September 2014 ,2014-09-10,10.13,1,2,NA,NA,2,11-Oct-15
5,7,17 September 2014 (2014-09-17),17 September 2014 ,2014-09-17,10.28,1,2,NA,NA,2,18-Oct-15
5,8,24 September 2014 (2014-09-24),24 September 2014 ,2014-09-24,9.023,2,4,NA,NA,2,25-Oct-15
5,9,1 October 2014 (2014-10-01),1 October 2014 ,2014-10-01,10.67,1,1,NA,NA,2,1-Nov-15
5,10,8 October 2014 (2014-10-08),8 October 2014 ,2014-10-08,13.51,1,1,NA,NA,2,8-Nov-15
6,1,5 August 2015 (2015-08-05),5 August 2015 ,2015-08-05,11.62,1,1,11.73,"2,063,000",3,1-Jul-16
6,2,12 August 2015 (2015-08-12),12 August 2015 ,2015-08-12,11.59,1,1,11.84,"1,977,000",3,8-Jul-16
6,3,19 August 2015 (2015-08-19),19 August 2015 ,2015-08-19,12.01,1,1,N/A,"1,760,000",3,15-Jul-16
6,4,26 August 2015 (2015-08-26),26 August 2015 ,2015-08-26,12.36,1,1,12.67,"1,539,000",3,15-Jul-16
6,5,2 September 2015 (2015-09-02),2 September 2015 ,2015-09-02,12.39,1,1,12.63,"1,930,000",3,22-Jul-16
6,6,9 September 2015 (2015-09-09),9 September 2015 ,2015-09-09,12.00,1,1,12.26,"1,869,000",3,22-Jul-16
6,7,16 September 2015 (2015-09-16),16 September 2015 ,2015-09-16,12.35,1,1,12.58,"1,841,000",3,29-Jul-16
6,8,23 September 2015 (2015-09-23),23 September 2015 ,2015-09-23,11.09,1,1,11.35,"1,748,000",3,29-Jul-16
6,9,30 September 2015 (2015-09-30),30 September 2015 ,2015-09-30,12.65,1,1,12.78,"1,370,000",3,5-Aug-16
6,10,7 October 2015 (2015-10-07),7 October 2015 ,2015-10-07,15.05,1,1,15.16,"1,619,000",3,12-Aug-16
7,1,24 August 2016 (2016-08-24),24 August 2016 ,2016-08-24,13.58,1,1,13.86,"1,989,000",4,16-Jun-17
7,2,31 August 2016 (2016-08-31),31 August 2016 ,2016-08-31,13.45,1,1,13.74,"1,949,000",4,16-Jun-17
7,3,7 September 2016 (2016-09-07),7 September 2016 ,2016-09-07,13.01,1,1,13.38,"2,314,000",4,23-Jun-17
7,4,14 September 2016 (2016-09-14),14 September 2016 ,2016-09-14,13.29,1,1,13.88,"2,291,000",4,30-Jun-17
7,5,21 September 2016 (2016-09-21),21 September 2016 ,2016-09-21,13.12,1,1,13.33,"1,984,000",4,7-Jul-17
7,6,28 September 2016 (2016-09-28),28 September 2016 ,2016-09-28,13.13,1,1,13.41,"1,397,000",4,14-Jul-17
7,7,5 October 2016 (2016-10-05),5 October 2016 ,2016-10-05,13.45,1,1,13.72,"2,154,000",4,21-Jul-17
7,8,12 October 2016 (2016-10-12),12 October 2016 ,2016-10-12,13.26,1,1,13.45,"1,957,000",4,28-Jul-17
7,9,19 October 2016 (2016-10-19),19 October 2016 ,2016-10-19,13.44,1,1,13.65,"1,901,000",4,4-Aug-17
7,10,26 October 2016 (2016-10-26),26 October 2016 ,2016-10-26,15.90,1,1,16.03,"1,602,000",4,4-Aug-17
8,1,29 August 2017 (2017-08-29),29 August 2017 ,2017-08-29,9.46,1,1,9.72,NA,NA,NA
8,2,5 September 2017 (2017-09-05),5 September 2017 ,2017-09-05,9.23,1,2,9.53,NA,NA,NA
8,3,12 September 2017 (2017-09-12),12 September 2017 ,2017-09-12,8.68,1,2,9.06,NA,NA,NA
8,4,19 September 2017 (2017-09-19),19 September 2017 ,2017-09-19,8.55,1,3,8.87,NA,NA,NA
8,5,26 September 2017 (2017-09-26),26 September 2017 ,2017-09-26,8.61,1,4,8.98,NA,NA,NA
8,6,3 October 2017 (2017-10-03),3 October 2017 ,2017-10-03,8.61,1,4,8.91,NA,NA,NA
8,7,10 October 2017 (2017-10-10),10 October 2017 ,2017-10-10,9.01,1,3,9.32,NA,NA,NA
8,8,17 October 2017 (2017-10-17),17 October 2017 ,2017-10-17,8.95,1,4,9.19,NA,NA,NA
8,9,24 October 2017 (2017-10-24),24 October 2017 ,2017-10-24,9.03,1,4,9.16,NA,NA,NA
8,10,31 October 2017 (2017-10-31),31 October 2017 ,2017-10-31,10.04,1,4,10.13,NA,NA,NA
