series,episode,us_season,us_airdate
4,1,1,28-Dec-14
4,2,1,4-Jan-15
4,3,1,11-Jan-15
4,4,1,18-Jan-15
4,5,1,25-Jan-15
4,6,1,1-Feb-15
4,7,1,8-Feb-15
4,8,1,15-Feb-15
4,9,1,22-Feb-15
4,10,1,1-Mar-15
5,1,2,6-Sep-15
5,2,2,13-Sep-15
5,3,2,20-Sep-15
5,4,2,27-Sep-15
5,5,2,4-Oct-15
5,6,2,11-Oct-15
5,7,2,18-Oct-15
5,8,2,25-Oct-15
5,9,2,1-Nov-15
5,10,2,8-Nov-15
6,1,3,1-Jul-16
6,2,3,8-Jul-16
6,3,3,15-Jul-16
6,4,3,15-Jul-16
6,5,3,22-Jul-16
6,6,3,22-Jul-16
6,7,3,29-Jul-16
6,8,3,29-Jul-16
6,9,3,5-Aug-16
6,10,3,12-Aug-16
7,1,4,16-Jun-17
7,2,4,16-Jun-17
7,3,4,23-Jun-17
7,4,4,30-Jun-17
7,5,4,7-Jul-17
7,6,4,14-Jul-17
7,7,4,21-Jul-17
7,8,4,28-Jul-17
7,9,4,4-Aug-17
7,10,4,4-Aug-17
